URN,Local Authority name,Establisment name,Easting,Northing,Type of Establishment,Phase of education,NO2 g/m3 mean,Above limit,Parliamentary Constituences,Establishment Status,Close Date
102956,Sutton,Thomas Wall Nursery School,525346,164285,LA Nursery School,Nursery,29.5,No,Sutton and Cheam,Open,
102981,Sutton,Robin Hood Infants' School,525346,164285,Community School,Primary,29.5,No,Sutton and Cheam,Open,
137423,Bexley,Chislehurst and Sidcup Grammar School,546606,172862,Academy Converter,Secondary,29.5,No,Old Bexley and Sidcup,Open,
141561,Hillingdon,Rosedale Primary School,508973,181384,Academy Sponsor Led,Primary,29.5,No,Hayes and Harlington,Open,
101834,Croydon,Laleham Lea School,530162,162196,Other Independent School,Not applicable,29.5,No,Croydon South,Open,
133769,Bexley,The Business Academy Bexley,548240,179613,Academy Sponsor Led,All Through,29.5,No,Erith and Thamesmead,Open,
102986,Sutton,Foresters Primary School,529920,163508,Community School,Primary,29.5,No,Carshalton and Wallington,Open,
101902,Ealing,Willow Tree Primary School,512441,184719,Community School,Primary,29.5,No,Ealing North,Open,
103068,Waltham Forest,Woodford Green Primary School,540020,192313,Community School,Primary,29.5,No,Chingford and Woodford Green,Open,
139640,Croydon,Harris Primary Academy Kenley,532253,160266,Academy Sponsor Led,Primary,29.5,No,Croydon South,Open,
131864,Harrow,Harrow College,515088,191765,Further Education,16 Plus,29.5,No,Harrow East,Open,
102456,Hillingdon,St Helen's College,507494,184058,Other Independent School,Not applicable,29.5,No,Uxbridge and South Ruislip,Open,
101212,Barking and Dagenham,Rush Green Primary School,550976,187161,Community School,Primary,29.5,No,Dagenham and Rainham,Open,
101759,Croydon,Smitham Primary School,529438,159363,Community School,Primary,29.5,No,Croydon South,Open,
102355,Havering,Gidea Park College,552488,189757,Other Independent School,Not applicable,29.5,No,Romford,Open,
102270,Havering,Ardleigh Green Junior School,553907,189675,Community School,Primary,29.5,No,Romford,Open,
102271,Havering,Ardleigh Green Infant School,553907,189675,Community School,Primary,29.5,No,Romford,Open,
134929,Harrow,St John's CofE School Stanmore,516545,192718,Voluntary Aided School,Primary,29.5,No,Harrow East,Open,
103035,Waltham Forest,Longshaw Primary School,538891,193249,Community School,Primary,29.4,No,Chingford and Woodford Green,Closed,12/31/2015
101049,Enfield,St Michael's CofE Primary School,532321,197873,Voluntary Aided School,Primary,29.4,No,Putney,Open,
100172,Havering,St Mary's Catholic Primary School,552326,187377,Voluntary Aided School,Primary,29.4,No,Eltham,Open,
105135,Greenwich,St Paul's Academy,546278,179196,Academy Sponsor Led,Secondary,29.4,No,Erith and Thamesmead,Open,
102464,Hillingdon,Pield Heath House RC School,506469,182099,Non-Maintained Special School,Not applicable,29.4,No,Uxbridge and South Ruislip,Open,
101991,Enfield,Galliard Primary School,534411,195023,Community School,Primary,29.4,No,Edmonton,Open,
138203,Enfield,Kingfisher Hall Primary Academy,535371,196589,Free Schools,Primary,29.4,No,Enfield North,Open,
101680,Bromley,Babington House School,542607,170812,Other Independent School,Not applicable,29.4,No,Bromley and Chislehurst,Open,
102975,Sutton,Devonshire Primary School,526158,163242,Community School,Primary,29.4,No,Sutton and Cheam,Open,
102373,Hillingdon,Colham Manor Primary School,507071,181457,Community School,Primary,29.4,No,Uxbridge and South Ruislip,Open,
137299,Kingston upon Thames,Richard Challoner School,520779,166528,Academy Converter,Secondary,29.4,No,Kingston and Surbiton,Open,
136431,Barking and Dagenham,George Carey Church of England Primary School,546391,182286,Voluntary Aided School,Primary,29.4,No,Barking,Open,
101367,Barnet,Mill Hill School Foundation,522605,192610,Other Independent School,Not applicable,29.4,No,Hendon,Open,
103097,Waltham Forest,Heathcote School & Science College,539369,193857,Community School,Secondary,29.4,No,Chingford and Woodford Green,Open,
138650,Bexley,St Columba's Catholic Boys' School,549876,174751,Academy Converter,Secondary,29.4,No,Bexleyheath and Crayford,Open,
140748,Hillingdon,Ruislip High School,510448,186302,Academy Converter,Secondary,29.4,No,Uxbridge and South Ruislip,Open,
102858,Redbridge,Mayfield School,547083,187196,Foundation School,Secondary,29.4,No,Ilford South,Open,
102065,Enfield,St John's Preparatory and Senior School,527371,200059,Other Independent School,Not applicable,29.4,No,Enfield North,Open,
100169,Havering,St Joseph's Catholic Primary School,555976,186572,Voluntary Aided School,Primary,29.3,No,Greenwich and Woolwich,Open,
133399,Greenwich,Willow Dene School,545325,176972,Community Special School,Not applicable,29.3,No,Eltham,Open,
102996,Sutton,St Elphege's RC Junior School,530448,163557,Voluntary Aided School,Primary,29.3,No,Carshalton and Wallington,Open,
102997,Sutton,St Elphege's RC Infants' School,530448,163557,Voluntary Aided School,Primary,29.3,No,Carshalton and Wallington,Open,
137844,Hillingdon,Barnhill Community High School,511160,182493,Academy Converter,Secondary,29.3,No,Hayes and Harlington,Open,
137121,Bromley,Harris Academy Beckenham,537430,168596,Academy Sponsor Led,Secondary,29.3,No,Beckenham,Open,
102249,Harrow,Quainton Hall School,515063,188637,Other Independent School,Not applicable,29.3,No,Harrow West,Open,
101984,Enfield,Chase Side Primary School,532249,197316,Community School,Primary,29.3,No,Enfield North,Open,
101326,Barnet,St Paul's CofE Primary School NW7,522534,192785,Voluntary Aided School,Primary,29.3,No,Hendon,Open,
